Output file TC-wise meltwater flux (m/s)
Year	Day	Timestep	Subbasin	LU	TC	value
2000	1	1	15	1	3	 0.00000E+00
2000	1	1	15	1	2	 0.00000E+00
2000	1	1	15	1	1	 0.00000E+00
2000	1	1	15	2	6	 0.00000E+00
2000	1	1	15	2	5	 0.00000E+00
2000	1	1	15	2	4	 0.00000E+00
2000	1	1	69	1	3	 0.00000E+00
2000	1	1	69	1	2	 0.00000E+00
2000	1	1	69	1	1	 0.00000E+00
2000	1	1	69	2	6	 0.00000E+00
2000	1	1	69	2	5	 0.00000E+00
2000	1	1	69	2	4	 0.00000E+00
2000	2	1	15	1	3	 0.00000E+00
2000	2	1	15	1	2	 0.00000E+00
2000	2	1	15	1	1	 0.00000E+00
2000	2	1	15	2	6	 0.00000E+00
2000	2	1	15	2	5	 0.00000E+00
2000	2	1	15	2	4	 0.00000E+00
2000	2	1	69	1	3	 0.00000E+00
2000	2	1	69	1	2	 0.00000E+00
2000	2	1	69	1	1	 0.00000E+00
2000	2	1	69	2	6	 0.00000E+00
2000	2	1	69	2	5	 0.00000E+00
2000	2	1	69	2	4	 0.00000E+00
2000	3	1	15	1	3	 0.00000E+00
2000	3	1	15	1	2	 0.00000E+00
2000	3	1	15	1	1	 0.00000E+00
2000	3	1	15	2	6	 0.00000E+00
2000	3	1	15	2	5	 0.00000E+00
2000	3	1	15	2	4	 0.00000E+00
2000	3	1	69	1	3	 0.00000E+00
2000	3	1	69	1	2	 0.00000E+00
2000	3	1	69	1	1	 0.00000E+00
2000	3	1	69	2	6	 0.00000E+00
2000	3	1	69	2	5	 0.00000E+00
2000	3	1	69	2	4	 0.00000E+00
2000	4	1	15	1	3	 0.00000E+00
2000	4	1	15	1	2	 0.00000E+00
2000	4	1	15	1	1	 0.00000E+00
2000	4	1	15	2	6	 0.00000E+00
2000	4	1	15	2	5	 0.00000E+00
2000	4	1	15	2	4	 0.00000E+00
2000	4	1	69	1	3	 0.00000E+00
2000	4	1	69	1	2	 0.00000E+00
2000	4	1	69	1	1	 0.00000E+00
2000	4	1	69	2	6	 0.00000E+00
2000	4	1	69	2	5	 0.00000E+00
2000	4	1	69	2	4	 0.00000E+00
2000	5	1	15	1	3	 0.00000E+00
2000	5	1	15	1	2	 0.00000E+00
2000	5	1	15	1	1	 0.00000E+00
